id,sender,text,chat,timestamp
306,4,"Обычно читаю книги или слушаю музыку, наслаждаясь видами из окна.",9,2024-03-26T22:24:53+03:00
307,14,Звучит как идеальный способ провести время в пути.,9,2024-03-26T22:26:02+03:00
308,4,"Какой маршрут ты бы выбрал, если бы мог поехать куда угодно?",9,2024-03-26T22:26:27+03:00
309,14,Мечтаю совершить поездку по транссибирской магистрали через всю Россию.,9,2024-03-26T22:27:59+03:00
310,4,Звучит потрясающе! Такое путешествие будет незабываемым.,9,2024-03-26T22:28:59+03:00
311,14,"Да, это одно из моих главных желаний.",9,2024-03-26T22:30:05+03:00
312,14,Привет! Ты снова страдаешь от шумных соседей?,9,2024-03-27T00:10:07+03:00
313,4,"Да, они опять устраивают вечеринку, и я не могу нормально поспать.",9,2024-03-27T00:11:37+03:00
314,14,"О, это так неприятно. Может, стоит им сказать что-то?",9,2024-03-27T00:12:26+03:00
315,4,"Я уже несколько раз обращалась к ним, но они не обращают внимания.",9,2024-03-27T00:13:46+03:00
316,14,"Это действительно раздражает. Может, стоит обратиться к управляющей компании?",9,2024-03-27T00:14:34+03:00
317,4,"Я думала об этом. Боюсь, что это может только ухудшить ситуацию.",9,2024-03-27T00:14:57+03:00
318,14,Понимаю. Но твой сон и покой тоже важны.,9,2024-03-27T00:15:45+03:00
319,4,"Да, надо будет еще раз подумать о вариантах решения этой проблемы.",9,2024-03-27T00:16:49+03:00
320,4,Hey! How are you today?,9,2024-03-27T15:26:47+03:00
321,14,"О! На английском заговорила? Hi! I am fine, thank you! And you?",9,2024-03-27T15:27:28+03:00
322,4,"I'm good, thanks. I just started to learn English.",9,2024-03-27T15:28:41+03:00
323,14,"Oh, really? That's cool! How it's going?",9,2024-03-27T15:29:01+03:00
324,4,"It's goes slowly, but I try my best.",9,2024-03-27T15:29:34+03:00
325,14,"Don't worry, it's normal to take time. I remember when I started learning too.",9,2024-03-27T15:29:50+03:00
326,4,Thanks for support! I have difficult with grammar sometimes.,9,2024-03-27T15:31:18+03:00
327,14,"No problem! Grammar can be tricky, but practice makes perfect.",9,2024-03-27T15:31:49+03:00
328,4,"Yes, I hope so. I'm also struggle with pronunciation.",9,2024-03-27T15:32:45+03:00
329,14,"Pronunciation can be tough, but listening to native speakers helps a lot.",9,2024-03-27T15:33:08+03:00
330,4,Thank you! I'll keep practicing and hopefully improve soon.,9,2024-03-27T15:33:49+03:00
331,4,"Привет! Ты слышал об этом огромном астероиде, который летит к Земле?",9,2024-03-28T19:41:57+03:00
332,14,"Да, это страшно! Что мы можем делать?",9,2024-03-28T19:42:37+03:00
333,4,"Пока ничего не ясно, но надо быть готовыми к любым сценариям.",9,2024-03-28T19:44:05+03:00
334,4,"Я читала, что он может стать угрозой для нашей планеты.",9,2024-03-28T19:44:55+03:00
335,14,"Может быть, у нас есть шанс как-то предотвратить столкновение?",9,2024-03-28T19:46:08+03:00
336,4,"Это зависит от размеров и скорости астероида, но это сложная задача.",9,2024-03-28T19:47:21+03:00
337,14,"Мне страшно даже думать о последствиях, если он действительно ударит по Земле.",9,2024-03-28T19:47:48+03:00
338,4,"Да, это было бы катастрофой масштабов, о которых мы даже не хотим думать.",9,2024-03-28T19:49:12+03:00
339,14,"Надеюсь, у нас есть достаточно времени для разработки плана действий.",9,2024-03-28T19:50:47+03:00
340,4,Пока мы можем только наблюдать за развитием событий и готовиться к худшему.,9,2024-03-28T19:51:37+03:00
341,14,Научные сообщества по всему миру должны объединиться для решения этой проблемы.,9,2024-03-28T19:52:35+03:00
342,4,Согласна! Нам нужно использовать все наши ресурсы для защиты нашей планеты.,9,2024-03-28T19:54:07+03:00
343,14,"Как ты себя чувствуешь, зная об этой угрозе?",9,2024-03-28T19:54:46+03:00
344,4,"Страшно, но надеюсь, что у нас есть шанс избежать катастрофы.",9,2024-03-28T19:55:52+03:00
345,14,Важно оставаться спокойными и действовать вместе в этот непростой момент.,9,2024-03-28T19:56:49+03:00
346,4,"Пусть это будет предупреждением для нас, чтобы лучше заботиться о нашей планете.",9,2024-03-28T19:57:04+03:00
347,14,"Давай надеяться на лучшее и приложим все усилия, чтобы обезопасить наш дом.",9,2024-03-28T19:57:39+03:00
